feature;description;units
f0;Уровень донора в нефрасe ;%
f1;Тем-ра пропилена к к.201;К
f2;Расход пропилена к R1;л/c
f3;Расход водорода к R1;л/c
f4;Расход катализатора в R1;л/c
f5;Расход донора к R1;л/c
f6;Давление пропилена на входе;Па
f7;Давление в газовой фазе реактора R1;Па
f8;R1, Объемная доля пропана;%
f9;R1, Объемная доля водорода;%
f10;Расход пропилена к R2;л/c
f11;Расход водорода к R2;л/c
f12;Расход катализатора в R2;л/c
f13;Расход донора к R2;л/c
f14;Давление в газовой фазе реактора R2;Па
f15;R2, Объемная доля пропана;%
f16;R2, Объемная доля водорода;%
f17;Температура реакционной среды в R1;К
f18;Температура реакционной среды в R2;К
f19;Температура реакционной среды в R3;К
f20;Расход нефраса к R1;л/c
f21;Расход нефраса к R2;л/c
f22;Расход ТЭА к R1;л/c
f23;Расход ТЭА к R2;л/c
f24;Температура в D219;К
f25;R1, Газоанализатор водорода;%
f26;R2, Газоанализатор водорода;%
f27;R3, Газоанализатор водорода;%
f28;ТЭА;л/c
f29;R1, Ток мешалки;А
f30;R3, Ток мешалки;А
f31;R2, Ток мешалки;А
f32;R1, Уровень;%
f33;R3, Уровень;%
f34;R2, Уровень;%
f35;Давление азота к E3B;Па
f36;R3, Перепад давления масло : газ;Па
f37;Давление сдувок на этилен;Па
f38;Температура деминерализованной воды;К
f39;Температура суспензии внизу R1;К
f40;Температура суспензии внизу R3;К
f41;Температура суспензии в центре R1;К
f42;Температура воздуха;К
f43;Атмосферное давление;Па
f44;Влажность воздуха;%
f45;Температура суспензии в центре R3;К
f46;Температура R1 длинный терм.;К
f47;Температура R1 короткий терм.;К
f48;Температура R3 длинный терм.;К
f49;Температура R3 короткий терм.;К
f50;Температура суспензии в центре R2;К
f51;Температура R2 длинный терм.;К
f52;Температура R2 короткий терм.;К
f53;Д18А Датчики веса;кг
f54;Д19А Датчики веса;кг
f55;Д20А Датчики веса;кг